name,title,duration,country,director,genre,cast,kp_rating,kp_votes_num,imdb_rating,imdb_votes_num
Гордость и предубеждение  (мини-сериал) Pride and Prejudice (1995) 300 мин.,Pride and Prejudice (1995),300 мин.,Великобритания,реж. Саймон Лэнгтон,"['(драма,', 'мелодрама)']","Дженнифер Эль, Колин Фёрт, ...",8.836,67 999,IMDb: 8.80,80 476
Бегущий человек  (сериал) Running Man (2010 – ...) 90 мин.,Running Man (2010 – ...),90 мин.,Корея Южная,реж. Choi Bo Pil...,"['(игра,', 'реальное', 'ТВ,', 'комедия)']","Ю Джэ-сок, Ким Джон-гук, ...",8.832,2 773,IMDb: 9.00,2 922
Космос: Возможные миры  (сериал) Cosmos: Possible Worlds (2020) 45 мин.,Cosmos: Possible Worlds (2020),45 мин.,США,реж. Энн Драйэн...,['(документальный)'],"Нил Тайсон, Сет МакФарлейн, ...",8.824,1 519,IMDb: 9.20,5 476
Queen: Live at Wembley Stadium  (ТВ) Queen Live at Wembley '86 (1986) 300 мин.,Queen Live at Wembley '86 (1986),300 мин.,Великобритания,реж. Гэвин Тейлор,"['(документальный,', 'музыка,', 'концерт)']","Фредди Меркьюри, Джон Дикон, ...",8.820,4 231,IMDb: 9.10,2 565
BBC: Замерзшая планета  (мини-сериал) Frozen Planet (2011 – 2012) 60 мин.,Frozen Planet (2011 – 2012),60 мин.,Великобритания,,['(документальный)'],"Дэвид Аттенборо, Алек Болдуин, ...",8.819,1 407,IMDb: 9.00,28 646
Российская империя  (сериал)  (2000 – 2003) 60 мин.,(2000 – 2003),60 мин.,Россия,реж. Джаник Файзиев...,"['(документальный,', 'история)']","Леонид Парфенов, Елизавета Листова, ...",8.818,3 694,,
Список Шиндлера Schindler's List (1993) 195 мин.,Schindler's List (1993),195 мин.,США,реж. Стивен Спилберг,"['(драма,', 'биография,', 'история...)']","Лиам Нисон, Бен Кингсли, ...",8.816,371 914,IMDb: 8.90,1 277 010
Аудиенция  (ТВ) The Audience (2012) 170 мин.,The Audience (2012),170 мин.,Великобритания,реж. Стивен Долдри,['(драма)'],"Хелен Миррен, Майкл Элвин, ...",8.813,1 022,IMDb: 8.50,456
Музыкальный фестиваль Live Aid  (ТВ) Live Aid (1985) 960 мин.,Live Aid (1985),960 мин.,США,реж. Винсент Скарза...,"['(документальный,', 'музыка,', 'концерт)']","Боб Гелдоф, Брайан Адамс, ...",8.812,523,IMDb: 8.50,2 166
Волшебство Queen в Будапеште Varázslat - A Queen Budapesten (1987) 90 мин.,Varázslat - A Queen Budapesten (1987),90 мин.,Венгрия,реж. Янош Жомбояи,"['(концерт,', 'музыка,', 'документальный)']","Queen, Джон Дикон, ...",8.811,1 091,IMDb: 8.60,1 027
Двенадцатая ночь Twelfth Night (2012) 186 мин.,Twelfth Night (2012),186 мин.,Великобритания,реж. Тим Кэрролл,['(комедия)'],"Стивен Фрай, Марк Райлэнс, ...",8.808,1 733,IMDb: 8.90,341
Гранд тур  (сериал) The Grand Tour (2016 – ...) 60 мин.,The Grand Tour (2016 – ...),60 мин.,Великобритания,реж. Фил Чурчуорд...,"['(ток-шоу,', 'комедия)']","Джереми Кларксон, Ричард Хаммонд, ...",8.804,13 919,IMDb: 8.70,68 887
1+1 Intouchables (2011) 112 мин.,Intouchables (2011),112 мин.,Франция,реж. Оливье Накаш...,"['(драма,', 'комедия,', 'биография)']","Франсуа Клюзе, Омар Си, ...",8.803,1 319 097,IMDb: 8.50,804 220
"Доктор Хаус  (сериал) House, M.D. (2004 – 2012) 43 мин.","House, M.D. (2004 – 2012)",43 мин.,США,реж. Грег Яйтанс...,"['(драма,', 'детектив)']","Хью Лори, Роберт Шон Леонард, ...",8.800,369 677,IMDb: 8.70,435 158
Просто о важном. Про Миру и Гошу  (сериал)  (2019 – 2020) 6 мин.,(2019 – 2020),6 мин.,Россия,реж. Ольга Лопато,"['(мультфильм,', 'детский)']","Валерия Шевченко, Роман Ленков, ...",8.793,3 596,,
Список Ланъя  (сериал) Lang ya bang (2015 – 2018) 45 мин.,Lang ya bang (2015 – 2018),45 мин.,Китай,реж. Кун Шэн...,"['(драма,', 'история)']","Ху Гэ, Лю Тао, ...",8.787,650,IMDb: 8.90,1 978
Иван Васильевич меняет профессию  (1973) 88 мин.,(1973),88 мин.,СССР,реж. Леонид Гайдай,"['(комедия,', 'фантастика,', 'приключения)']","Александр Демьяненко, Юрий Яковлев, ...",8.781,707 454,IMDb: 8.30,15 913
Мать Mayrig (1991) 157 мин.,Mayrig (1991),157 мин.,Франция,реж. Анри Вернёй,['(драма)'],"Клаудия Кардинале, Омар Шариф, ...",8.781,3 246,IMDb: 7.50,3 403
Создание игры «The Last of Us»  (видео) Grounded: Making the Last of Us (2013) 85 мин.,Grounded: Making the Last of Us (2013),85 мин.,США,реж. Jason Bertrand...,['(документальный)'],"Кристоф Балестра, Jacob Minkoff, ...",8.778,839,IMDb: 8.30,660
Друзья: Ещё один эпизод перед последним – Десять лет Друзей  (ТВ) Friends: The One Before the Last One - Ten Years of Friends (2004) 22 мин.,Friends: The One Before the Last One - Ten Years of Friends (2004),22 мин.,США,реж. Лорна Дэвис,['(комедия)'],"Дженнифер Энистон, Кортни Кокс, ...",8.773,529,IMDb: 8.80,1 276
Король Лев The Lion King (1994) 88 мин.,The Lion King (1994),88 мин.,США,реж. Роджер Аллерс...,"['(мультфильм,', 'мюзикл,', 'драма...)']","Мэттью Бродерик, Джереми Айронс, ...",8.771,543 859,IMDb: 8.50,991 774
Дальше – тишина  (ТВ)  (1978) 149 мин.,(1978),149 мин.,СССР,реж. Валерий Горбацевич...,['(драма)'],"Ростислав Плятт, Фаина Раневская, ...",8.768,1 551,IMDb: 9.10,55
Крошечный мир  (сериал) Tiny World (2020 – ...) 30 мин.,Tiny World (2020 – ...),30 мин.,США,реж. Alex Ranken...,['(документальный)'],"Пол Радд, Nick Pratt, ...",8.765,556,IMDb: 9.00,1 817
Queen: Дни наших жизней  (ТВ) Queen: Days of Our Lives (2011) 120 мин.,Queen: Days of Our Lives (2011),120 мин.,Великобритания,реж. Мэтт О’Кейси,"['(документальный,', 'музыка)']","Брайан Мэй, Роджер Тейлор, ...",8.761,1 815,IMDb: 8.50,1 810
Разборы фильмов от КиноПоиска  (сериал)  (2016 – 2020) 15 мин.,(2016 – 2020),15 мин.,Россия,,['(документальный)'],,8.754,3 201,,
Depeche Mode: The Videos 86>98  (видео)  (1999) 126 мин.,(1999),126 мин.,Великобритания,реж. Мартин Аткинс...,['(музыка)'],"Мартин Гор, Дэвид Гаан, ...",8.754,595,IMDb: 8.90,776
Крестный отец: Новелла для телевидения  (мини-сериал) The Godfather: A Novel for Television (1977) 434 мин.,The Godfather: A Novel for Television (1977),434 мин.,США,реж. Фрэнсис Форд Коппола,"['(драма,', 'криминал,', 'триллер)']","Марлон Брандо, Аль Пачино, ...",8.753,6 438,IMDb: 9.50,5 211
Песня остаётся всё такой же The Song Remains the Same (1976) 137 мин.,The Song Remains the Same (1976),137 мин.,Великобритания,реж. Питер Клифтон...,"['(документальный,', 'музыка)']","Джон Бонэм, Джон Пол Джонс, ...",8.752,741,IMDb: 7.70,8 139
Земляне Earthlings (2005) 95 мин.,Earthlings (2005),95 мин.,США,реж. Шон Монсон,['(документальный)'],"Хоакин Феникс, ...",8.747,15 506,IMDb: 8.70,18 681
Неукротимый: Повелитель Чэньцин  (сериал) Chen qing ling (2019) 45 мин.,Chen qing ling (2019),45 мин.,Китай,реж. Чань Ка-Лам...,"['(фэнтези,', 'боевик,', 'драма...)']","Шон Сяо, Ван Ибо, ...",8.741,4 034,IMDb: 9.00,5 167
Фиксики. Новенькие  (сериал)  (2020 – ...) 6 мин.,(2020 – ...),6 мин.,Россия,реж. Иван Пшонкин...,"['(мультфильм,', 'детский)']","Ярослав Ефременко, Анастасия Дятлова, ...",8.740,44 842,,
Человек  Human (2015) 134 мин.,Human (2015),134 мин.,Франция,реж. Янн Артюс-Бертран,['(документальный)'],"Luis Cancu, Атман, ...",8.738,10 653,IMDb: 8.70,8 079
Загадочное ночное убийство собаки  (ТВ) The Curious Incident of the Dog in the Night-Time (2012) 135 мин.,The Curious Incident of the Dog in the Night-Time (2012),135 мин.,Великобритания,реж. Ник Викхэм...,"['(драма,', 'детектив)']","Люк Тредэвэй, Нив Кьюсак, ...",8.737,663,IMDb: 8.60,332
Сопрано  (сериал) The Sopranos (1999 – 2007) 55 мин.,The Sopranos (1999 – 2007),55 мин.,США,реж. Тимоти Ван Паттен...,"['(драма,', 'криминал)']","Джеймс Гандольфини, Иди Фалько, ...",8.736,77 864,IMDb: 9.20,346 996
Discovery: Как устроена Вселенная  (сериал) How the Universe Works (2010 – 2019) 43 мин.,How the Universe Works (2010 – 2019),43 мин.,США,реж. Марк Бридж...,['(документальный)'],"Фил Плейт, Мишель Таллер, ...",8.735,4 056,IMDb: 8.90,6 542
BBC: Планета людей  (мини-сериал) Human Planet (2011) 60 мин.,Human Planet (2011),60 мин.,Великобритания,реж. Марк Флауэрс...,['(документальный)'],"Джон Хёрт, Роджер Муннс, ...",8.728,1 601,IMDb: 9.00,25 031
Джузеппе Москати: Исцеляющая любовь  (ТВ) Giuseppe Moscati: L'amore che guarisce (2007) 200 мин.,Giuseppe Moscati: L'amore che guarisce (2007),200 мин.,Италия,реж. Джакомо Кампиотти,"['(драма,', 'биография)']","Беппе Фиорелло, Кася Смутняк, ...",8.727,4 442,IMDb: 8.00,412
Много шума из ничего  (ТВ) Much Ado About Nothing (2011) 161 мин.,Much Ado About Nothing (2011),161 мин.,Великобритания,реж. Джози Рурк,"['(мелодрама,', 'комедия)']","Дэвид Теннант, Кэтрин Тейт, ...",8.725,1 046,IMDb: 8.60,712
Клиника  (сериал) Scrubs (2001 – 2010) 22 мин.,Scrubs (2001 – 2010),22 мин.,США,реж. Майкл Спиллер...,"['(комедия,', 'драма)']","Зак Брафф, Дональд Фэйсон, ...",8.722,220 969,IMDb: 8.30,245 834
